SR,AuthorID,Affiliation,Country
"DWIVEDI YK, 2023, PSYCHOL MARKET",OA:A5107368669,NO AFFILIATION,NO COUNTRY
"DWIVEDI YK, 2023, PSYCHOL MARKET",ORCID:0000-0003-4921-2816,NO AFFILIATION,NO COUNTRY
"DWIVEDI YK, 2023, PSYCHOL MARKET",ORCID:0000-0002-6238-6397,NO AFFILIATION,NO COUNTRY
"DWIVEDI YK, 2023, PSYCHOL MARKET",ORCID:0000-0003-3642-6989,NO AFFILIATION,NO COUNTRY
"DWIVEDI YK, 2023, PSYCHOL MARKET",ORCID:0000-0003-3514-2255,NO AFFILIATION,NO COUNTRY
"ECKSTEIN D, 2015, INT J PROD RES",OA:A5055309326,NO AFFILIATION,NO COUNTRY
"ECKSTEIN D, 2015, INT J PROD RES",OA:A5082916636,NO AFFILIATION,NO COUNTRY
"EDDY JM, 2009, HEALTH PROMOT PRACT",ORCID:0000-0001-5847-3052,NO AFFILIATION,NO COUNTRY
"DY AM, 2020, EUR MANAG REV",ORCID:0000-0002-2737-311X,NO AFFILIATION,NO COUNTRY
"DYER JH, 1998, ACAD MANAGE REV",OA:A5108596508,NO AFFILIATION,NO COUNTRY
"DYTHAM S, 2019, STUD HIGH EDUC",ORCID:0000-0003-4928-0309,NO AFFILIATION,NO COUNTRY
"DZOGBENUKU RK, 2019, ASIA PAC J INNOV ENT",ORCID:0000-0003-1583-5767,NO AFFILIATION,NO COUNTRY
"EAPEN A, 2019, ORGAN SCI",ORCID:0000-0002-6295-5983,NO AFFILIATION,NO COUNTRY
"EAPEN A, 2019, ORGAN SCI",ORCID:0000-0003-1711-914X,NO AFFILIATION,NO COUNTRY
"EASTERBY-SMITH M, 2009, BRIT J MANAGE",OA:A5007266362,NO AFFILIATION,NO COUNTRY
"EASTERBY-SMITH M, 2009, BRIT J MANAGE",OA:A5045423425,NO AFFILIATION,NO COUNTRY
"EBNEYAMINI S, 2018, INT J QUAL METH",OA:A5052764754,NO AFFILIATION,NO COUNTRY
"EBNEYAMINI S, 2018, INT J QUAL METH",ORCID:0000-0002-9584-581X,NO AFFILIATION,NO COUNTRY
"EBOLI L, 2009, J PUBLIC TRANSPORT",ORCID:0000-0002-3304-6430,NO AFFILIATION,NO COUNTRY
"EBOLI L, 2009, J PUBLIC TRANSPORT",ORCID:0000-0003-0993-454X,NO AFFILIATION,NO COUNTRY
"BECKERS P, 2013, ENTREP REGION DEV",ORCID:0000-0002-7358-2641,NO AFFILIATION,NO COUNTRY
"BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",ORCID:0000-0001-8551-6716,NO AFFILIATION,NO COUNTRY
"BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP",OA:A5102144219,NO AFFILIATION,NO COUNTRY
"BECKER JM, 2012, LONG RANGE PLANN",ORCID:0000-0002-2876-7671,NO AFFILIATION,NO COUNTRY
"BECKER JM, 2023, INT J CONTEMP HOSP M",OA:A5077545405,NO AFFILIATION,NO COUNTRY
"BECKER JU, 2009, INT J RES MARK",ORCID:0000-0002-5600-4356,NO AFFILIATION,NO COUNTRY
"BECKER JU, 2009, INT J RES MARK",ORCID:0000-0002-3993-4199,NO AFFILIATION,NO COUNTRY
"BECKER SO, 2013, EMPIR ECON",OA:A5086383420,NO AFFILIATION,NO COUNTRY
"EBRAHIMI P, 2017, EURASIAN BUS REV",ORCID:0000-0003-4987-9792,NO AFFILIATION,NO COUNTRY
"EBRAHIMI P, 2018, CONTRIB MANAG SCI",OA:A5067731735,NO AFFILIATION,NO COUNTRY
"EBRAHIMI P, 2018, CONTRIB MANAG SCI",ORCID:0000-0002-5720-4544,NO AFFILIATION,NO COUNTRY
"EBRAHIMI P, 2018, CONTRIB MANAG SCI",OA:A5010336581,NO AFFILIATION,NO COUNTRY
"ECCLES RG, 2014, MANAGE SCI",OA:A5008711305,NO AFFILIATION,NO COUNTRY
"ECCLES RG, 2014, MANAGE SCI",ORCID:0000-0002-5945-4870,NO AFFILIATION,NO COUNTRY
"ECKEL CC, 1998, ECON J",ORCID:0000-0003-1583-5214,NO AFFILIATION,NO COUNTRY
"ECKEL CC, 1998, ECON J",ORCID:0000-0003-2581-883X,NO AFFILIATION,NO COUNTRY
"ECKHARDT JT, 2003, J MANAGE",ORCID:0000-0001-6980-8903,NO AFFILIATION,NO COUNTRY
"BAUWERAERTS J, 2023, J SMALL BUS MANAGE",ORCID:0000-0002-1844-5994,NO AFFILIATION,NO COUNTRY
"BAYCAN-LEVENT T, 2009, ENTREP REGION DEV",OA:A5109053506,NO AFFILIATION,NO COUNTRY
"EDEH E, 2023, STRUCT EQU MODELING",ORCID:0000-0001-9902-0922,NO AFFILIATION,NO COUNTRY
"EDEH E, 2023, STRUCT EQU MODELING",ORCID:0000-0001-5279-8163,NO AFFILIATION,NO COUNTRY
"EDEH E, 2023, STRUCT EQU MODELING",OA:A5030569742,NO AFFILIATION,NO COUNTRY
"EDLER J, 2016, RES POLICY",ORCID:0000-0003-0938-1244,NO AFFILIATION,NO COUNTRY
"EDLER J, 2016, RES POLICY",ORCID:0000-0002-8634-4976,NO AFFILIATION,NO COUNTRY
"EDMONDSON AC, 2007, ACAD MANAG ANN",OA:A5109488446,NO AFFILIATION,NO COUNTRY
"EDMONDSON AC, 2007, ACAD MANAG ANN",OA:A5051248048,NO AFFILIATION,NO COUNTRY
"EDVARDSSON B, 2011, J ACAD MARKET SCI",ORCID:0000-0003-2705-0836,NO AFFILIATION,NO COUNTRY
"EDVARDSSON B, 2011, J ACAD MARKET SCI",ORCID:0000-0002-5605-9285,NO AFFILIATION,NO COUNTRY
"EDVARDSSON B, 2011, J ACAD MARKET SCI",ORCID:0000-0002-1234-5503,NO AFFILIATION,NO COUNTRY
"EDWARDS J, 2023, J BUS RES",ORCID:0000-0003-3890-8893,NO AFFILIATION,NO COUNTRY
"EDWARDS J, 2023, J BUS RES",ORCID:0000-0001-7480-232X,NO AFFILIATION,NO COUNTRY
"EESLEY CE, 2021, STRATEGIC MANAGE J",ORCID:0000-0003-2348-1583,NO AFFILIATION,NO COUNTRY
"BECERRA-FERNANDEZ I, 2000, KNOWL-BASED SYST",OA:A5112774395,NO AFFILIATION,NO COUNTRY
"BAUER JC, 2013, J ACAD MARKET SCI",ORCID:0000-0002-7983-9604,NO AFFILIATION,NO COUNTRY
"BAUM JAC, 1996, ACAD MANAGE J",ORCID:0009-0004-6468-2431,NO AFFILIATION,NO COUNTRY
"BAUM JAC, 2004, J BUS VENTURING",ORCID:0000-0002-1866-0547,NO AFFILIATION,NO COUNTRY
"BASU S, 2011, J BUS VENTURING",ORCID:0000-0003-0486-8811,NO AFFILIATION,NO COUNTRY
"EFRAT K, 2017, INT BUS REV",ORCID:0000-0001-9937-3816,NO AFFILIATION,NO COUNTRY
"EFRAT K, 2017, INT BUS REV",OA:A5051151529,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2012, INT ENTREP MANAG J",OA:A5112019251,NO AFFILIATION,NO COUNTRY
"EGGERS F, 2016, INTERNATIONAL JOURNAL OF TECHNOLOGY MARKETING",OA:A5043611594,NO AFFILIATION,NO COUNTRY
"EHRET M, 2013, IND MARKET MANAG",OA:A5062179604,NO AFFILIATION,NO COUNTRY
"EID R, 2015, TOURISM MANAGE",ORCID:0000-0001-6139-7054,NO AFFILIATION,NO COUNTRY
"BAUM JR, 2001, ACAD MANAGE J",OA:A5112415387,NO AFFILIATION,NO COUNTRY
"BAUMAN A, 2018, AGRIC RESOUR ECON RE",ORCID:0000-0002-7925-3099,NO AFFILIATION,NO COUNTRY
"BAUMAN A, 2018, AGRIC RESOUR ECON RE",ORCID:0000-0002-3974-0888,NO AFFILIATION,NO COUNTRY
"BAUMAN A, 2018, AGRIC RESOUR ECON RE",ORCID:0000-0002-6404-039X,NO AFFILIATION,NO COUNTRY
"BAUMGARTNER H, 2021, J INT MARKETING",ORCID:0000-0002-8590-0088,NO AFFILIATION,NO COUNTRY
"BAUWERAERTS J, 2023, J SMALL BUS MANAGE",ORCID:0000-0001-9377-5494,NO AFFILIATION,NO COUNTRY
"BATTISTELLA C, 2018, SUSTAINABILITY-BASEL",OA:A5079922450,NO AFFILIATION,NO COUNTRY
"BATTISTELLA C, 2018, SUSTAINABILITY-BASEL",ORCID:0000-0001-7058-6578,NO AFFILIATION,NO COUNTRY
"BASCO R, 2020, J BUS RES",ORCID:0000-0002-0168-2272,NO AFFILIATION,NO COUNTRY
"EIME RM, 2013, INT J BEHAV NUTR PHY",ORCID:0000-0002-8614-2813,NO AFFILIATION,NO COUNTRY
"EIME RM, 2013, INT J BEHAV NUTR PHY",ORCID:0000-0002-0040-0691,NO AFFILIATION,NO COUNTRY
"EIME RM, 2013, INT J BEHAV NUTR PHY",ORCID:0000-0001-6927-6580,NO AFFILIATION,NO COUNTRY
"EIME RM, 2013, INT J BEHAV NUTR PHY",OA:A5109365603,NO AFFILIATION,NO COUNTRY
"EIME RM, 2013, INT J BEHAV NUTR PHY",ORCID:0000-0001-5046-3992,NO AFFILIATION,NO COUNTRY
"EIRIZ V, 2019, J SMALL BUS MANAGE",ORCID:0000-0001-8122-7060,NO AFFILIATION,NO COUNTRY
"EIRIZ V, 2019, J SMALL BUS MANAGE",ORCID:0000-0003-2717-277X,NO AFFILIATION,NO COUNTRY
"EIRIZ V, 2019, J SMALL BUS MANAGE",ORCID:0000-0003-3400-5996,NO AFFILIATION,NO COUNTRY
"EL-ADLY MI, 2019, J RETAIL CONSUM SERV",ORCID:0000-0002-0015-7062,NO AFFILIATION,NO COUNTRY
"EESLEY CE, 2021, STRATEGIC MANAGE J",ORCID:0000-0002-3930-0292,NO AFFILIATION,NO COUNTRY
"BATTOUR M, 2011, INT J TOUR RES",OA:A5049049204,NO AFFILIATION,NO COUNTRY
"BAUER C, 2011, INT J CULT POLICY",ORCID:0000-0003-0276-3610,NO AFFILIATION,NO COUNTRY
"BAUER JC, 2013, J ACAD MARKET SCI",ORCID:0000-0001-6801-2540,NO AFFILIATION,NO COUNTRY
"ENDRIS EBRAHIM, 2022, J INNOV ENTREP",ORCID:0000-0002-9048-2351,NO AFFILIATION,NO COUNTRY
"ENDRIS EBRAHIM, 2022, J INNOV ENTREP",ORCID:0000-0001-8011-5710,NO AFFILIATION,NO COUNTRY
"ENGEL Y, 2017, J BUS VENTURING",ORCID:0000-0001-5383-922X,NO AFFILIATION,NO COUNTRY
"ELBANNA S, 2006, INT J MANAG REV",ORCID:0000-0002-5891-8258,NO AFFILIATION,NO COUNTRY
"ELENURM T, 2008, BALT J MANAG",ORCID:0000-0002-3984-437X,NO AFFILIATION,NO COUNTRY
"ELG U, 2012, IND MARKET MANAG",ORCID:0000-0002-5073-8535,NO AFFILIATION,NO COUNTRY
"ELLEN PS, 2006, J ACAD MARKET SCI",OA:A5091245755,NO AFFILIATION,NO COUNTRY
"ELLER R, 2020, J BUS RES",ORCID:0000-0003-2601-5182,NO AFFILIATION,NO COUNTRY
"ELLIOT E, 2023, J RES MARK ENTREP",ORCID:0000-0002-3322-8437,NO AFFILIATION,NO COUNTRY
"BATEMAN TS, 1993, J ORGAN BEHAV",OA:A5020799610,NO AFFILIATION,NO COUNTRY
"BATEMAN TS, 1993, J ORGAN BEHAV",OA:A5032313834,NO AFFILIATION,NO COUNTRY
"BATTERINK MH, 2010, ENTREP REGION DEV",OA:A5090610271,NO AFFILIATION,NO COUNTRY
"BATTERINK MH, 2010, ENTREP REGION DEV",ORCID:0000-0002-3287-1076,NO AFFILIATION,NO COUNTRY
"BATTERINK MH, 2010, ENTREP REGION DEV",OA:A5090335855,NO AFFILIATION,NO COUNTRY
"BATTISTELLA C, 2012, MANAGE DECIS",ORCID:0000-0001-8961-6378,NO AFFILIATION,NO COUNTRY
"BATTISTELLA C, 2018, SUSTAINABILITY-BASEL",ORCID:0000-0003-4942-6945,NO AFFILIATION,NO COUNTRY
"BASHOKUH-E-AJIRLOO M, 2023, INT J EMERG MARK",OA:A5019507460,NO AFFILIATION,NO COUNTRY
"BASHOKUH-E-AJIRLOO M, 2023, INT J EMERG MARK",ORCID:0000-0002-2433-3921,NO AFFILIATION,NO COUNTRY
"BASHOKUH-E-AJIRLOO M, 2023, INT J EMERG MARK",OA:A5090615012,NO AFFILIATION,NO COUNTRY
"BASHOKUH-E-AJIRLOO M, 2023, INT J EMERG MARK",ORCID:0000-0002-7647-382X,NO AFFILIATION,NO COUNTRY
"BASTIAN BL, 2018, GEND MANAG",ORCID:0000-0002-1529-203X,NO AFFILIATION,NO COUNTRY
"BASTIAN BL, 2018, GEND MANAG",ORCID:0000-0003-3121-264X,NO AFFILIATION,NO COUNTRY
"BASTIAN BL, 2018, GEND MANAG",OA:A5039270232,NO AFFILIATION,NO COUNTRY
"BASU A, 2002, INTERNATIONAL SMALL BUSINESS JOURNAL: RESEARCHING ENTREPRENEURSHIP",OA:A5075885162,NO AFFILIATION,NO COUNTRY
"ELSEOUD A, 2019, J ISLAMIC FINANCIAL",ORCID:0000-0003-3877-4784,NO AFFILIATION,NO COUNTRY
"ELSEOUD A, 2019, J ISLAMIC FINANCIAL",OA:A5083656797,NO AFFILIATION,NO COUNTRY
"ELSEOUD A, 2019, J ISLAMIC FINANCIAL",OA:A5112616449,NO AFFILIATION,NO COUNTRY
"ELYASI S, 2009, DEV UV PHOTOREACTOR",ORCID:0000-0002-0109-3152,NO AFFILIATION,NO COUNTRY
"EMAMI A, 2021, MANAGE DECIS",ORCID:0000-0002-2680-8628,NO AFFILIATION,NO COUNTRY
"EMERY M, 2006, COMMUNITY DEV",OA:A5109205069,NO AFFILIATION,NO COUNTRY
"EMERY M, 2006, COMMUNITY DEV",ORCID:0000-0002-9502-5678,NO AFFILIATION,NO COUNTRY
"EMINI A, 2021, EKON MISAO PRAKSA",OA:A5052872465,NO AFFILIATION,NO COUNTRY
"ERIKSON T, 2002, J BUS VENTURING",ORCID:0000-0002-9156-4455,NO AFFILIATION,NO COUNTRY
"ERIKSSON K, 1997, J INT BUS STUD",ORCID:0000-0001-5371-1445,NO AFFILIATION,NO COUNTRY
"ENGELBRECHT AS, 2017, LEADERSHIP ORG DEV J",OA:A5080884690,NO AFFILIATION,NO COUNTRY
"ENGELBRECHT SA, 2017, SA J HUMAN RESOURCE",OA:A5001256092,NO AFFILIATION,NO COUNTRY
"ENGELEN A, 2014, J INT MANAG",OA:A5016401619,NO AFFILIATION,NO COUNTRY
"ENGELEN A, 2014, J SMALL BUS MANAGE",OA:A5060312298,NO AFFILIATION,NO COUNTRY
"ENGELEN A, 2014, RES POLICY",OA:A5070768050,NO AFFILIATION,NO COUNTRY
"ENGESTROM Y, 1999, PERSPECTIVES ON ACTIVITY THEORY",ORCID:0000-0002-6949-4278,NO AFFILIATION,NO COUNTRY
"ENIOLA AA, 2014, INT J RES STUDIES MA",OA:A5039075537,NO AFFILIATION,NO COUNTRY
"ENKEL E, 2010, R&D MANAGE",ORCID:0000-0001-5274-793X,NO AFFILIATION,NO COUNTRY
"ENTRIALGO M, 2000, TECHNOVATION",ORCID:0000-0001-6840-3365,NO AFFILIATION,NO COUNTRY
"ENTRIALGO M, 2000, TECHNOVATION",ORCID:0000-0002-4760-3090,NO AFFILIATION,NO COUNTRY
"ENTRIALGO M, 2000, TECHNOVATION",OA:A5008850000,NO AFFILIATION,NO COUNTRY
"BASHIR H, 2025, INT J MANPOWER",ORCID:0009-0005-7436-176X,NO AFFILIATION,NO COUNTRY
"BASHIR H, 2025, INT J MANPOWER",ORCID:0000-0003-4623-9693,NO AFFILIATION,NO COUNTRY
"BASHIR H, 2025, INT J MANPOWER",ORCID:0000-0001-7271-8335,NO AFFILIATION,NO COUNTRY
"ESCRIBA-CARDA N, 2025, EUR J MANAG BUS ECON",ORCID:0000-0002-3695-7424,NO AFFILIATION,NO COUNTRY
"ESCRIBA-CARDA N, 2025, EUR J MANAG BUS ECON",ORCID:0000-0002-6896-3976,NO AFFILIATION,NO COUNTRY
"ERDOGAN B Z, 1999, CELEBRITY ENDORSEMENT: ADVERTISING AGENCY MANAGERS' PERSPECTIVE",ORCID:0000-0002-2147-7356,NO AFFILIATION,NO COUNTRY
"ERESIA-EKE CE, 2019, SO AFR J ENTREP SMAL",ORCID:0000-0003-4008-474X,NO AFFILIATION,NO COUNTRY
"ERESIA-EKE CE, 2019, SO AFR J ENTREP SMAL",OA:A5051086540,NO AFFILIATION,NO COUNTRY
"ERESIA-EKE CE, 2019, SO AFR J ENTREP SMAL",OA:A5012412660,NO AFFILIATION,NO COUNTRY
"EREVELLES S, 2016, J BUS RES",OA:A5058072043,NO AFFILIATION,NO COUNTRY
"EREVELLES S, 2016, J BUS RES",ORCID:0000-0002-5148-7475,NO AFFILIATION,NO COUNTRY
"EREVELLES S, 2016, J BUS RES",OA:A5019787791,NO AFFILIATION,NO COUNTRY
"ERGUN HS, 2013, PROCD SOC BEHV",ORCID:0000-0003-3885-8902,NO AFFILIATION,NO COUNTRY
"ERGUN HS, 2013, PROCD SOC BEHV",OA:A5029565378,NO AFFILIATION,NO COUNTRY
"ERHARDT N, 2016, SMALL GR RES",OA:A5067005304,NO AFFILIATION,NO COUNTRY
"ERHARDT N, 2016, SMALL GR RES",ORCID:0000-0003-1346-2960,NO AFFILIATION,NO COUNTRY
"ERHARDT N, 2016, SMALL GR RES",ORCID:0000-0002-4364-9753,NO AFFILIATION,NO COUNTRY
"ERHARDT N, 2016, SMALL GR RES",ORCID:0000-0002-5835-961X,NO AFFILIATION,NO COUNTRY
"ERIKSEN SN, 2013, ACTA AGR SCAND B-S P",OA:A5016296316,NO AFFILIATION,NO COUNTRY
"ETZKOWITZ H, 2000, RES POLICY",ORCID:0000-0002-3127-3744,NO AFFILIATION,NO COUNTRY
"ETZKOWITZ H, 2000, RES POLICY",ORCID:0000-0002-4397-6519,NO AFFILIATION,NO COUNTRY
"EVANS N, 2005, INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT",ORCID:0000-0002-8241-6653,NO AFFILIATION,NO COUNTRY
"EVANS V, 2019, ENCYCLOPEDIA OF THE UN SUSTAINABLE DEVELOPMENT GOALS",OA:A5032051826,NO AFFILIATION,NO COUNTRY
"EYANA SM, 2018, J SMALL BUS ENTERP D",ORCID:0000-0002-3909-6391,NO AFFILIATION,NO COUNTRY
"ERIKSSON K, 1997, J INT BUS STUD",OA:A5086441365,NO AFFILIATION,NO COUNTRY
"ERIKSSON K, 1997, J INT BUS STUD",ORCID:0000-0002-7746-0457,NO AFFILIATION,NO COUNTRY
"ERIKSSON T, 2020, TQM J",ORCID:0000-0002-9285-397X,NO AFFILIATION,NO COUNTRY
"ERIKSSON T, 2020, TQM J",ORCID:0000-0002-3669-5356,NO AFFILIATION,NO COUNTRY
"EROL O, 2010, ENTERP INF SYST-UK",OA:A5110878671,NO AFFILIATION,NO COUNTRY
"EROL O, 2010, ENTERP INF SYST-UK",ORCID:0000-0003-4517-7830,NO AFFILIATION,NO COUNTRY
"ERRAJAA K, 2022, J RETAIL CONSUM SERV",ORCID:0000-0001-9855-1318,NO AFFILIATION,NO COUNTRY
"ERRAJAA K, 2022, J RETAIL CONSUM SERV",OA:A5030811599,NO AFFILIATION,NO COUNTRY
"ERRAJAA K, 2022, J RETAIL CONSUM SERV",ORCID:0000-0001-8296-7693,NO AFFILIATION,NO COUNTRY
"ESCOBAR O, 2023, J SMALL BUS MANAGE",ORCID:0000-0001-9649-6079,NO AFFILIATION,NO COUNTRY
"ESCOBAR O, 2023, J SMALL BUS MANAGE",ORCID:0000-0002-1763-9578,NO AFFILIATION,NO COUNTRY
"BARRY D, 1997, ACAD MANAGE REV",ORCID:0000-0002-8621-0425,NO AFFILIATION,NO COUNTRY
"BARTELS R, 1977, J MARKETING",OA:A5036163267,NO AFFILIATION,NO COUNTRY
"BARTH H, 2020, SUSTAINABILITY-BASEL",ORCID:0000-0001-5796-3746,NO AFFILIATION,NO COUNTRY
"BARTIK AW, 2020, P NATL ACAD SCI USA",OA:A5111433522,NO AFFILIATION,NO COUNTRY
"BARTIK AW, 2020, P NATL ACAD SCI USA",OA:A5055622850,NO AFFILIATION,NO COUNTRY
"BARTIK AW, 2020, P NATL ACAD SCI USA",OA:A5113890882,NO AFFILIATION,NO COUNTRY
"BARTIK AW, 2020, P NATL ACAD SCI USA",ORCID:0000-0001-6951-7882,NO AFFILIATION,NO COUNTRY
"BASAR U, 2025, J ENTREP EMERG ECON",ORCID:0000-0003-0008-5131,NO AFFILIATION,NO COUNTRY
"BASAR U, 2025, J ENTREP EMERG ECON",ORCID:0000-0001-9810-8535,NO AFFILIATION,NO COUNTRY
"BASAR U, 2025, J ENTREP EMERG ECON",ORCID:0000-0002-8870-7398,NO AFFILIATION,NO COUNTRY
"BARNES JAMESG, 2003, MANAGING SERVICE QUALITY",OA:A5005101829,NO AFFILIATION,NO COUNTRY
"ESFANDIAR K, 2019, J BUS RES",ORCID:0000-0001-6242-2899,NO AFFILIATION,NO COUNTRY
"ESTELAMI H, 2020, J RES MARK ENTREP",OA:A5030343953,NO AFFILIATION,NO COUNTRY
"ESTRADA I, 2020, LONG RANGE PLANN",ORCID:0000-0003-3939-1873,NO AFFILIATION,NO COUNTRY
"ETIKAN I, 2016, AMERICAN JOURNAL OF THEORETICAL AND APPLIED STATISTICS",ORCID:0000-0001-9171-8269,NO AFFILIATION,NO COUNTRY
"ETZKOWITZ H, 2000, RES POLICY",ORCID:0000-0001-8185-8153,NO AFFILIATION,NO COUNTRY
"FANG SR, 2014, EUR J MARKETING",OA:A5103956597,NO AFFILIATION,NO COUNTRY
"EYASU AM, 2020, COGENT BUS MANAG",OA:A5064869746,NO AFFILIATION,NO COUNTRY
"EYASU AM, 2020, COGENT BUS MANAG",OA:A5083683451,NO AFFILIATION,NO COUNTRY
"EZEANI E, 2018, J ENTREP EMERG ECON",ORCID:0000-0002-1510-0608,NO AFFILIATION,NO COUNTRY
"FADDA N, 2018, NEW ENGL J ENTREP",ORCID:0000-0002-3106-1346,NO AFFILIATION,NO COUNTRY
"FADHIL R, 2018, PERIODICA POLYTECHNICA SOCIAL AND MANAGEMENT SCIENCES",ORCID:0000-0002-8124-1599,NO AFFILIATION,NO COUNTRY
"FADHIL R, 2018, PERIODICA POLYTECHNICA SOCIAL AND MANAGEMENT SCIENCES",OA:A5000018284,NO AFFILIATION,NO COUNTRY
"FADHIL R, 2018, PERIODICA POLYTECHNICA SOCIAL AND MANAGEMENT SCIENCES",ORCID:0000-0002-0905-4086,NO AFFILIATION,NO COUNTRY
"FADHIL R, 2018, PERIODICA POLYTECHNICA SOCIAL AND MANAGEMENT SCIENCES",ORCID:0000-0001-6628-5203,NO AFFILIATION,NO COUNTRY
"FADZIL S M, 2022, IOP CONFERENCE SERIES: EARTH AND ENVIRONMENTAL SCIENCE",OA:A5061829470,NO AFFILIATION,NO COUNTRY
"FADZIL S M, 2022, IOP CONFERENCE SERIES: EARTH AND ENVIRONMENTAL SCIENCE",ORCID:0000-0002-7862-8768,NO AFFILIATION,NO COUNTRY
"FAFCHAMPS M, 1999, J DEV STUD",ORCID:0000-0001-5432-6223,NO AFFILIATION,NO COUNTRY
"FAFCHAMPS M, 1999, J DEV STUD",ORCID:0000-0002-2183-1845,NO AFFILIATION,NO COUNTRY
"FALAHAT M, 2020, J INT MANAG",OA:A5050235473,NO AFFILIATION,NO COUNTRY
"ESCRIBA-CARDA N, 2025, EUR J MANAG BUS ECON",ORCID:0000-0001-9549-2412,NO AFFILIATION,NO COUNTRY
"BARRUTIA JM, 2022, INT REV ADM SCI",ORCID:0000-0002-4923-7370,NO AFFILIATION,NO COUNTRY
"FARINHA CM, 2015, INT J MARKETING COMM",ORCID:0000-0002-7091-2123,NO AFFILIATION,NO COUNTRY
"FARINHA CM, 2015, INT J MARKETING COMM",ORCID:0000-0002-0828-8630,NO AFFILIATION,NO COUNTRY
"FALAHAT M, 2020, TECHNOL FORECAST SOC",OA:A5008755306,NO AFFILIATION,NO COUNTRY
"FAMIYEH S, 2018, INT J QUAL RELIAB MA",OA:A5014093965,NO AFFILIATION,NO COUNTRY
"FAMIYEH S, 2018, INT J QUAL RELIAB MA",ORCID:0000-0003-1598-0454,NO AFFILIATION,NO COUNTRY
"FAMIYEH S, 2018, INT J QUAL RELIAB MA",ORCID:0000-0002-7859-8351,NO AFFILIATION,NO COUNTRY
"FAN L, 2019, ASIA PAC EDUC REV",ORCID:0000-0002-4936-2526,NO AFFILIATION,NO COUNTRY
"FAN L, 2019, ASIA PAC EDUC REV",ORCID:0000-0002-9101-7451,NO AFFILIATION,NO COUNTRY
"FAN T, 2007, J INT BUS STUD",OA:A5103826461,NO AFFILIATION,NO COUNTRY
"FAN T, 2007, J INT BUS STUD",ORCID:0000-0002-1366-1604,NO AFFILIATION,NO COUNTRY
"FAN-OSUALA O, 2023, INT J ENTREP BEHAV R",ORCID:0000-0001-8218-0997,NO AFFILIATION,NO COUNTRY
"FANG E, 2009, J INT BUS STUD",ORCID:0000-0001-8850-1528,NO AFFILIATION,NO COUNTRY
"FANG SC, 2010, INT SMALL BUS J",OA:A5012414805,NO AFFILIATION,NO COUNTRY
"FANG SC, 2010, INT SMALL BUS J",ORCID:0000-0001-5736-9587,NO AFFILIATION,NO COUNTRY
"FANG SC, 2010, INT SMALL BUS J",OA:A5072600154,NO AFFILIATION,NO COUNTRY
"FANG SR, 2014, EUR J MARKETING",OA:A5111737428,NO AFFILIATION,NO COUNTRY
"BARR AM, 2002, J AFR ECON",ORCID:0000-0002-1241-9162,NO AFFILIATION,NO COUNTRY
"BARRALES-MOLINA V, 2014, INT J MANAG REV",ORCID:0000-0002-5258-9887,NO AFFILIATION,NO COUNTRY
"BARRERA-VERDUGO G, 2022, HELIYON",ORCID:0000-0002-1609-5003,NO AFFILIATION,NO COUNTRY
"BARRERA-VERDUGO G, 2022, HELIYON",OA:A5060725562,NO AFFILIATION,NO COUNTRY
"BARBULESCU O, 2021, SUSTAINABILITY-BASEL",ORCID:0000-0003-0928-7717,NO AFFILIATION,NO COUNTRY
"FANG SR, 2014, EUR J MARKETING",OA:A5025717321,NO AFFILIATION,NO COUNTRY
"FANG X, 2012, IEEE COMMUN SURV TUT",ORCID:0000-0002-3783-2041,NO AFFILIATION,NO COUNTRY
"FANG X, 2012, IEEE COMMUN SURV TUT",ORCID:0000-0001-7347-984X,NO AFFILIATION,NO COUNTRY
"FANG X, 2012, IEEE COMMUN SURV TUT",ORCID:0000-0002-5833-8894,NO AFFILIATION,NO COUNTRY
"FANG X, 2012, IEEE COMMUN SURV TUT",ORCID:0000-0002-1811-4423,NO AFFILIATION,NO COUNTRY
"FARHIKHTEH S, 2020, COMPET REV",ORCID:0000-0002-0481-0188,NO AFFILIATION,NO COUNTRY
"FARHIKHTEH S, 2020, COMPET REV",ORCID:0000-0002-7857-9476,NO AFFILIATION,NO COUNTRY
"FARHIKHTEH S, 2020, COMPET REV",ORCID:0000-0002-2222-6006,NO AFFILIATION,NO COUNTRY
"FARIDA N, 2016, JURNAL DINAMIKA MANAJEMEN",ORCID:0000-0001-8532-4984,NO AFFILIATION,NO COUNTRY
"FARINHA CM, 2015, INT J MARKETING COMM",ORCID:0000-0002-5467-1710,NO AFFILIATION,NO COUNTRY
"FARINHA CM, 2015, INT J MARKETING COMM",ORCID:0000-0003-2305-4813,NO AFFILIATION,NO COUNTRY
"FEENEY J, 2019, CURR OPIN PSYCHOL",OA:A5044381864,NO AFFILIATION,NO COUNTRY
"FARINHA L, 2016, J KNOWL ECON",ORCID:0000-0002-2079-3234,NO AFFILIATION,NO COUNTRY
"FARINHA L, 2020, INT REV PUB NON MARK",ORCID:0000-0003-4175-010X,NO AFFILIATION,NO COUNTRY
